number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Автобус,Остановка,САД ВАЛЕТИНА ПИКУЛЯ,САД ВАЛЕТИНА ПИКУЛЯ,"Измайловский пр., 11-я Красноармейская ул.","1М,1МБ,70, МА,С-1,Ц 1,10,43,К-90,К-252 ","59.912447,30.307162"
2,Автобус,Временная,"УЛ. ДЫБЕНКО, 22","УЛ. ДЫБЕНКО, 22",улица Дыбенко,0.0,"59.905469,30.476443"
3,Автобус,КП,ЦВЕТНОЙ ГОРОД (ВЫСАДКИ -ПОСАДКИ НЕТ),,Муринская дорога,0.0,"60.020658,30.471025"
4,Автобус,ДС,"""ПРИДОРОЖНАЯ АЛЛЕЯ"" (ВЫСАДКИ и ПОСАДКИ НЕТ)","""ПРИДОРОЖНАЯ АЛЛЕЯ"" (ВЫСАДКИ и ПОСАДКИ НЕТ)","Придорожная аллея, Суздальский пр.","60,69, 199 ","60.059058,30.344882"
5,Автобус,Остановка,"""СКК""","""СКК""","проспект Юрия Гагарина, Кузнецовская улица"," 0,63,72,184 ","59.869725,30.336938"
6,Автобус,Остановка,"""СКК""","""СКК""",проспект Юрия Гагарина," 0,16,63,72,184 ","59.868922,30.336547"
7,Автобус,Остановка,"""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",," К-174,К-180,187шк,К-294,К-354,375,375А,388 ","59.735984,30.463469"
8,Автобус,Остановка,"""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",,"375,375А,388, 0,СП003,К-202,К-294,К-354,К-521 ","59.744725,30.477748"
9,Автобус,Остановка,"""СЛАВЯНКА"",РОСТОВСКАЯ УЛ.","""СЛАВЯНКА"",РОСТОВСКАЯ УЛ.",Ростовская улица," СП003,375,375А ","59.744269,30.477617"
10,Автобус,Остановка,1 КМ,1 КМ,Песочное шоссе,84,"60.114095,30.225488"
11,Автобус,Остановка,1 КМ [75]<,1 КМ,Песочное шоссе,75,"60.113921,30.225508"
12,Автобус,Остановка,"1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О. [7]<","1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект","7, 1,1,3М,С-3,5М,7А,10,24,24А,47,100,128,191 ","59.940931,30.291578"
13,Автобус,Остановка,"1 ЛИНИЯ,УГ. БОЛЬШОГО ПР. В.О. [7]","1 ЛИНИЯ,УГ. БОЛЬШОГО ПР. В.О.","Большой пр. В.О., Кадетская и 1-я линии",47,"59.941030,30.290937"
